source,stamp_sec,stamp_nanosec,x,y,z,qx,qy,qz,qw
vins,1776726671,365891078,-5.85906e-05,0.000476557,-0.000259974,0.00095283,0.00127882,-0.00012063,0.999999
vins,1776726671,403139078,4.47976e-05,0.000379107,-0.000332669,0.000924802,0.0012911,-0.000129393,0.999999
vins,1776726671,416199078,7.07326e-05,0.000333794,-0.000364889,0.000916733,0.00127684,-0.000133923,0.999999
vins,1776726671,449331078,0.000146544,0.000348027,-0.000357045,0.00092176,0.00128201,-0.00012504,0.999999
vins,1776726671,466059078,3.80376e-05,0.000397271,-0.000352685,0.000938272,0.00127401,-0.000116083,0.999999
vins,1776726671,516056078,-0.000126631,0.000467376,-0.000235508,0.000968331,0.00128381,-0.00010608,0.999999
vins,1776726671,566861078,0.000136646,0.000282841,-0.000341974,0.000926503,0.00129115,-0.000109662,0.999999
vins,1776726671,582565078,0.000228775,0.000277532,-0.000424662,0.000911655,0.00127143,-0.000108045,0.999999
vins,1776726671,618355078,0.000171986,0.000286807,-0.000376345,0.000941843,0.00127816,-0.000111389,0.999999
vins,1776726671,649413078,0.000127069,0.000313581,-0.00034844,0.000962008,0.0012717,-0.000116377,0.999999
vins,1776726671,682567078,8.24953e-05,0.000373811,-0.00029598,0.000965338,0.00127674,-0.000118487,0.999999
vins,1776726671,699317078,0.000275028,0.000250679,-0.000376017,0.000968562,0.00124182,-0.000105826,0.999999
vins,1776726671,749406078,0.000206431,0.000156366,-0.000445451,0.000951396,0.00126578,-9.56002e-05,0.999999
vins,1776726671,784405078,-2.55175e-05,0.000348463,-0.000340848,0.000925333,0.00127733,-8.91521e-05,0.999999
vins,1776726671,799389078,-3.98769e-05,0.000408211,-0.000264083,0.0009353,0.00128737,-9.91396e-05,0.999999
vins,1776726671,816071078,3.2725e-05,0.000423314,-0.000177544,0.000957171,0.00128839,-9.83705e-05,0.999999
vins,1776726671,832686078,-2.60211e-05,0.000445956,-0.000196886,0.000969038,0.00128256,-9.8743e-05,0.999999
vins,1776726671,849314078,-3.94884e-05,0.000431301,-0.000263268,0.000962198,0.00128046,-9.94686e-05,0.999999
vins,1776726671,882690078,-0.000112612,0.000390561,-0.00025413,0.000973793,0.00127372,-0.000105586,0.999999
vins,1776726671,899337078,-6.26841e-05,0.000354035,-0.000311044,0.000943533,0.00130212,-0.000121964,0.999999
vins,1776726671,932729078,9.64991e-06,0.000313762,-0.000342564,0.000921349,0.00128842,-0.000120758,0.999999
vins,1776726671,949282078,3.90674e-05,0.00036894,-0.000294955,0.000918628,0.00128487,-0.000126559,0.999999
vins,1776726671,982734078,0.000195014,0.000325725,-0.000352741,0.000936375,0.00127486,-0.00011962,0.999999
vins,1776726671,999459078,0.000236271,0.000326477,-0.000333163,0.000965876,0.00124144,-0.000113087,0.999999
vins,1776726672,16129078,0.000118555,0.000316313,-0.000339376,0.000973837,0.00126386,-0.000103778,0.999999
vins,1776726672,32683078,0.000125766,0.000291877,-0.000334676,0.000962687,0.00125285,-0.000103528,0.999999
vins,1776726672,66066078,9.0077e-05,0.000325517,-0.000319672,0.000939088,0.00126311,-9.54152e-05,0.999999
vins,1776726672,82770078,-2.50599e-05,0.000367547,-0.000370309,0.00091899,0.00127686,-9.39793e-05,0.999999
vins,1776726672,99286078,-1.61329e-05,0.000419462,-0.000302048,0.000910398,0.0012989,-9.85371e-05,0.999999
vins,1776726672,116066078,-0.000119633,0.000475738,-0.000297849,0.000924451,0.0012714,-0.000107514,0.999999
vins,1776726672,132708078,-4.18123e-05,0.000482399,-0.000306797,0.000943349,0.00128875,-0.000113986,0.999999
vins,1776726672,149409078,-5.72107e-05,0.000403471,-0.000267849,0.00097258,0.00126447,-0.00011915,0.999999
vins,1776726672,182763078,-9.45462e-05,0.000427083,-0.000251127,0.000960283,0.00128103,-0.000131179,0.999999
vins,1776726672,199400078,-3.64763e-05,0.000352883,-0.000272855,0.000945881,0.00128141,-0.000126148,0.999999
vins,1776726672,216063078,4.96509e-05,0.000277358,-0.000328579,0.000927033,0.00129254,-0.000128793,0.999999
vins,1776726672,232684078,1.95308e-05,0.000279697,-0.000295431,0.000917907,0.00128591,-0.000135136,0.999999
vins,1776726672,249326078,0.000113527,0.000253426,-0.000357661,0.00092508,0.00128448,-0.000126223,0.999999
vins,1776726672,266069078,7.61308e-05,0.000321397,-0.00035966,0.000932772,0.00128493,-0.000114263,0.999999
vins,1776726672,299428078,0.000135086,0.000297068,-0.000390589,0.000954091,0.00127284,-9.44591e-05,0.999999
vins,1776726672,316055078,-1.48454e-05,0.000449972,-0.000308244,0.000975637,0.00125441,-8.47312e-05,0.999999
vins,1776726672,332758078,-1.99335e-05,0.000408176,-0.000309788,0.000978661,0.00125751,-8.00347e-05,0.999999
vins,1776726672,349449078,-2.06304e-05,0.000417254,-0.000254409,0.000967141,0.00129279,-8.79328e-05,0.999999
vins,1776726672,365957078,-3.1252e-05,0.000368607,-0.000337181,0.000945647,0.00127377,-9.94249e-05,0.999999
vins,1776726672,382696078,4.08925e-06,0.000320773,-0.000323613,0.000921492,0.00130078,-0.000106939,0.999999
vins,1776726672,415946078,-7.56235e-05,0.000340272,-0.000315782,0.000932145,0.00128589,-0.000117826,0.999999
vins,1776726672,432709078,-1.12719e-05,0.000317546,-0.000343615,0.000941879,0.00128596,-0.0001253,0.999999
vins,1776726672,449481078,1.73691e-05,0.000330671,-0.000272673,0.00096512,0.00127963,-0.000132328,0.999999
vins,1776726672,482708078,5.9513e-05,0.000326466,-0.00030141,0.000988109,0.00126814,-0.000132945,0.999999
vins,1776726672,532710078,5.27574e-05,0.000283715,-0.000369957,0.000906568,0.00131277,-0.000108191,0.999999
vins,1776726672,549843078,0.000107711,0.000282729,-0.00037328,0.0008956,0.00127768,-9.47299e-05,0.999999
vins,1776726672,582709078,0.000138206,0.000275381,-0.000386967,0.000916293,0.00129046,-6.5436e-05,0.999999
vins,1776726672,599465078,0.000164252,0.000322458,-0.00039559,0.00094487,0.00127435,-6.08418e-05,0.999999
vins,1776726672,632718078,-5.77972e-06,0.000400296,-0.000247943,0.000977666,0.00127822,-7.26197e-05,0.999999
vins,1776726672,666259078,5.24269e-05,0.000361063,-0.000355664,0.000951761,0.00128747,-0.000108746,0.999999
vins,1776726672,699506078,-5.7762e-05,0.000285675,-0.000389114,0.000913386,0.00127935,-0.000134375,0.999999
vins,1776726672,732759078,-5.29319e-05,0.000295124,-0.000325529,0.00090519,0.00128506,-0.000139438,0.999999
vins,1776726672,766060078,-0.000111135,0.000344061,-0.000322926,0.000929223,0.0012971,-0.000127043,0.999999
vins,1776726672,782606078,-9.9914e-05,0.000389411,-0.000278786,0.000951168,0.00129394,-0.000101746,0.999999
vins,1776726672,815964078,-6.04227e-05,0.000372474,-0.000220376,0.000969912,0.00127359,-7.38594e-05,0.999999
vins,1776726672,832735078,-0.000138693,0.000354393,-0.000237262,0.000948698,0.00129818,-6.66623e-05,0.999999
vins,1776726672,849462078,-0.000109885,0.000325476,-0.00020177,0.000929061,0.00132244,-6.70548e-05,0.999999
vins,1776726672,865972078,-3.043e-05,0.000309134,-0.000248973,0.000909216,0.00130423,-7.27712e-05,0.999999
vins,1776726672,882705078,-8.29674e-05,0.000276666,-0.000282607,0.000908149,0.00131443,-7.61498e-05,0.999999
vins,1776726672,899477078,-2.30329e-05,0.000275501,-0.000249536,0.000919768,0.00131483,-8.09261e-05,0.999999
vins,1776726672,932673078,-0.000107334,0.000355839,-0.000220592,0.000937588,0.00130791,-0.000107402,0.999999
vins,1776726672,949495078,-0.000100718,0.000339177,-0.000248949,0.000963658,0.0013008,-0.000111446,0.999999
vins,1776726672,982715078,-0.000146509,0.000372148,-0.000255434,0.000953057,0.00128058,-0.000140348,0.999999
vins,1776726672,999528078,-0.000133372,0.000349354,-0.000259404,0.0009234,0.00131474,-0.000142729,0.999999
vins,1776726673,33111078,0.000102436,0.000195682,-0.000401344,0.000903302,0.00130526,-0.000127687,0.999999
